Job Title,Company Name,Location List,Post Date,Job Skills,Job Link
Senior Data Integration Engineer,e-finance,"Smart Village, Giza, Egypt ",17 hours ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · ETL · Integration · Data Integration · Software Engineering · Data Modeling · Database · Python · Software Development,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jcNRvQOmEJlj-Senior-Data-Integration-Engineer-e-finance-Giza-Egypt
Data Engineer,Carina Wear,"New Cairo, Cairo, Egypt ",19 days ago,Entry Level · 0 - 1 Yrs of Exp · Analyst/Research · Engineering - Other · Engineering · Data Engineering · Data Warehousing · Data Warehouse · Analysis · SQL · Computer Science · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4WxgaxNNUk21-Data-Engineer-Carina-Wear-Cairo-Egypt
Senior Data Engineer,Global Brands,"New Cairo, Cairo, Egypt ",20 days ago,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Azure · Communication skills · Computer Science · Data Analysis · Information Technology (IT) · Software Development,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jOEOlhhGB7p6-Senior-Data-Engineer-Global-Brands-Cairo-Egypt
Senior Data Warehousing & Business Intelligence Engineer,"The Micro, Small & Medium Enterprise Development Agency ","Dokki, Giza, Egypt ",1 month ago,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Business Intelligence · Computer Science · Data Analysis · Data Warehousing · Engineering · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/wzZUaJvYO6Cw-Senior-Data-Warehousing-Business-Intelligence-Engineer-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt
Data/Artificial Intelligence Sr. Consultant,Exco Egypt,"Nasr City, Cairo, Egypt ",8 days ago,Manager · 10 - 16 Yrs of Exp · males_preferred · Strategy/Consulting · Artificial Intelligence · Computer Science · Software Development · Data Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/MirKjNxU7veX-DataArtificial-Intelligence-Sr-Consultant-Exco-Egypt-Cairo-Egypt
Big Data Consultant,Exco Egypt,"Nasr City, Cairo, Egypt ",8 days ago,Manager · 10 - 16 Yrs of Exp · males_preferred · Analyst/Research · Strategy/Consulting · Big Data · Analysis · Data Management · Computer Engineering · Data Science,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/egjM6VMefvKW-Big-Data-Consultant-Exco-Egypt-Cairo-Egypt
Africa Sales Engineers,Wadi Degla Trading ,"Maadi, Cairo, Egypt ",3 hours ago,Experienced · 3 - 3 Yrs of Exp · males_only · Sales/Retail · Engineering - Mechanical/Electrical · Engineering · Data center · technical · sales skills · Sales · Marketing · Sales Target · Sales Planning,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/TMkRq5410G43-Africa-Sales-Engineers-Wadi-Degla-Trading-Cairo-Egypt
Machine Learning Engineer,WUZZUF,"Maadi, Cairo, Egypt ",2 hours ago,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · ElasticSearch · Machine Learning · Web Development · Pandas · Information Retrieval · Recommender Systems,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LZGiOLXFhs9n-Machine-Learning-Engineer-WUZZUF-Cairo-Egypt
Data Management Supervisor,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",19 days ago,Experienced · 6 - 8 Yrs of Exp · Operations/Management · Sales/Retail · Computer Science · Data Management · Computer Engineering · Data · Management · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Txj2WlzPCJAg-Data-Management-Supervisor-Nahdet-Misr-Publishing-Group-Giza-Egypt
Data Engineer,BBI-Consultancy,"Nasr City, Cairo, Egypt ",1 month ago,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Data Mining · Database · Engineering · Ibm · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jQVx15fwJIz1-Data-Engineer-BBI-Consultancy-Cairo-Egypt
Mining & Fleet Data Condition Analysis Senior Advisor,Mantrac,"Alexandria, Egypt ",26 days ago,Experienced · 2 - 5 Yrs of Exp · Engineering - Other · Mechanical Engineering · Database Management · Performance Management · Data Analysis · Reporting · Data Mining,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/XZFr0XjX5asY-Mining-Fleet-Data-Condition-Analysis-Senior-Advisor-Mantrac-Alexandria-Egypt
